,375_time,375_conf,375_files
0,17.797119140625,[[0.38311857 0.3500284  0.26685312]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_070_val_resized.jpg',)"
1,12.125184059143066,[[0.28436077 0.43683013 0.27880904]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_333_resized.jpg',)"
2,11.589632034301758,[[0.42221013 0.32033485 0.25745484]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_473_resized.jpg',)"
3,11.422719955444336,[[0.25442496 0.4600219  0.28555307]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_054_val_resized.jpg',)"
4,11.438079833984375,[[0.28182873 0.495759   0.22241214]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_256_resized.jpg',)"
5,11.54355239868164,[[0.32092193 0.39834973 0.28072828]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_899_resized.jpg',)"
6,11.488256454467773,[[0.29715994 0.454575   0.24826507]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_088_val_resized.jpg',)"
7,13.840383529663086,[[0.25745964 0.36872104 0.37381935]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_853_resized.jpg',)"
8,11.268095970153809,[[0.35059446 0.40983316 0.23957232]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_006_val_resized.jpg',)"
9,11.266048431396484,[[0.2912965  0.32559925 0.3831042 ]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_874_resized.jpg',)"
10,11.315199851989746,[[0.31652403 0.404273   0.27920294]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_042_val_resized.jpg',)"
11,11.503616333007812,[[0.3392503  0.42400596 0.23674372]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_039_val_resized.jpg',)"
12,11.254783630371094,[[0.30053762 0.4537453  0.24571715]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_097_val_resized.jpg',)"
13,11.25376033782959,[[0.33823216 0.34202188 0.31974596]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_032_val_resized.jpg',)"
14,11.296768188476562,[[0.3468948  0.43193758 0.22116762]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_078_val_resized.jpg',)"
15,11.482111930847168,[[0.36525923 0.35629213 0.27844858]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_079_val_resized.jpg',)"
16,11.421695709228516,[[0.28538385 0.4241689  0.29044724]],"('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_016_val_resized.jpg',)"
