,0_time
0,0.000176161527633667
1,4.798173904418945e-05
2,4.646182060241699e-05
3,4.795193672180176e-05
4,4.652142524719238e-05
5,4.655122756958008e-05
6,4.741549491882324e-05
7,4.678964614868164e-05
8,4.723668098449707e-05
9,4.824995994567871e-05
10,4.628300666809082e-05
11,4.7534704208374023e-05
12,4.667043685913086e-05
13,4.583597183227539e-05
14,4.646182060241699e-05
15,4.70578670501709e-05
16,4.628300666809082e-05
17,4.443526268005371e-05
18,4.509091377258301e-05
19,4.634261131286621e-05
20,4.553794860839844e-05
21,4.824995994567871e-05
22,4.795193672180176e-05
23,4.9114227294921875e-05
24,4.7594308853149414e-05
25,4.607439041137695e-05
26,4.6253204345703125e-05
27,5.003809928894043e-05
28,5.552172660827637e-05
29,4.6700239181518555e-05
30,4.693865776062012e-05
31,4.583597183227539e-05
32,4.6372413635253906e-05
33,4.649162292480469e-05
34,4.6759843826293945e-05
35,4.589557647705078e-05
36,4.6372413635253906e-05
37,4.8160552978515625e-05
38,4.953145980834961e-05
39,4.5746564865112305e-05
40,4.6372413635253906e-05
41,4.589557647705078e-05
42,5.030632019042969e-05
43,4.991888999938965e-05
44,5.4836273193359375e-05
45,5.519390106201172e-05
46,4.6581029891967773e-05
47,4.5627355575561523e-05
48,4.628300666809082e-05
49,4.5746564865112305e-05
50,4.628300666809082e-05
51,4.5806169509887695e-05
52,4.64320182800293e-05
53,4.5627355575561523e-05
54,4.601478576660156e-05
55,4.443526268005371e-05
56,4.526972770690918e-05
57,4.4673681259155273e-05
58,4.5627355575561523e-05
59,4.45246696472168e-05
60,4.678964614868164e-05
61,4.4971704483032227e-05
62,4.622340202331543e-05
63,4.839897155761719e-05
64,4.571676254272461e-05
65,4.410743713378906e-05
66,4.509091377258301e-05
67,4.4226646423339844e-05
68,4.51505184173584e-05
69,4.470348358154297e-05
70,4.500150680541992e-05
71,4.500150680541992e-05
72,4.571676254272461e-05
73,4.443526268005371e-05
74,4.538893699645996e-05
75,4.44948673248291e-05
76,4.798173904418945e-05
77,4.51207160949707e-05
78,4.538893699645996e-05
79,4.4971704483032227e-05
80,4.6193599700927734e-05
81,4.76837158203125e-05
82,4.532933235168457e-05
83,4.476308822631836e-05
84,4.488229751586914e-05
85,4.419684410095215e-05
86,4.4971704483032227e-05
87,4.437565803527832e-05
88,4.506111145019531e-05
89,4.425644874572754e-05
90,4.488229751586914e-05
91,4.461407661437988e-05
92,4.521012306213379e-05
93,4.458427429199219e-05
94,4.738569259643555e-05
95,4.416704177856445e-05
96,4.583597183227539e-05
97,4.482269287109375e-05
98,4.5925378799438477e-05
99,4.7147274017333984e-05
100,4.6372413635253906e-05
101,4.506111145019531e-05
102,4.5239925384521484e-05
103,4.4405460357666016e-05
104,4.482269287109375e-05
105,4.4286251068115234e-05
106,5.322694778442383e-05
107,4.398822784423828e-05
108,4.4733285903930664e-05
109,4.392862319946289e-05
110,4.4912099838256836e-05
111,4.4286251068115234e-05
112,4.807114601135254e-05
113,4.410743713378906e-05
114,4.538893699645996e-05
115,4.488229751586914e-05
116,4.5299530029296875e-05
117,4.8041343688964844e-05
118,4.5180320739746094e-05
119,4.455447196960449e-05
120,4.5359134674072266e-05
121,4.458427429199219e-05
122,4.392862319946289e-05
123,4.4673681259155273e-05
124,4.431605339050293e-05
