,23_time,23_conf,23_files
0,3.399545907974243,"[[0.38441074 0.295377   0.3202123 ]
 [0.34169906 0.35975322 0.29854763]
 [0.2783942  0.4191731  0.30243266]
 [0.4119919  0.27839866 0.30960935]
 [0.41124132 0.31687945 0.2718791 ]
 [0.33500847 0.38044482 0.2845467 ]
 [0.37089375 0.26139513 0.3677111 ]
 [0.32344475 0.33348396 0.34307128]
 [0.37510678 0.31512463 0.30976856]
 [0.31697184 0.4345768  0.24845132]
 [0.38910455 0.29990548 0.31098998]
 [0.326444   0.3169159  0.35664004]
 [0.33376062 0.33005083 0.33618864]
 [0.39200318 0.28326428 0.32473257]
 [0.35452682 0.35712326 0.28834984]
 [0.3193021  0.31387365 0.36682433]]","('/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_070_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_333_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_473_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_054_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_256_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_899_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_088_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_853_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_006_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_874_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_042_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_039_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_097_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_032_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_078_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_079_val_resized.jpg')"
1,1.950767993927002,"[[0.38273495 0.31695855 0.30030647]
 [0.36125392 0.33967918 0.29906687]
 [0.32075202 0.39917654 0.28007147]
 [0.34761956 0.3282328  0.32414767]
 [0.34970728 0.33321127 0.31708142]
 [0.346455   0.3338359  0.31970918]
 [0.32519385 0.29236224 0.3824439 ]
 [0.3131532  0.36760688 0.31923985]
 [0.3563495  0.27427873 0.3693717 ]
 [0.37767133 0.3809642  0.24136439]
 [0.41253424 0.23470463 0.35276118]
 [0.3676051  0.26219887 0.37019604]
 [0.29684025 0.40279013 0.30036965]
 [0.36871773 0.31774804 0.31353426]
 [0.31033117 0.25973192 0.4299369 ]
 [0.29670182 0.31337005 0.389928  ]]","('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_016_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_016_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_272_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_055_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_835_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_001_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_302_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_179_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_013_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_025_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_521_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_631_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_690_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_325_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_456_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_506_resized.jpg')"
2,1.919245958328247,"[[0.3306137  0.3811429  0.2882434 ]
 [0.3854396  0.26511124 0.34944913]
 [0.42073232 0.2897465  0.28952125]
 [0.37313583 0.36388487 0.2629792 ]
 [0.40381783 0.2548928  0.3412893 ]
 [0.41035882 0.29690713 0.29273415]
 [0.3993958  0.32265747 0.27794668]
 [0.32656404 0.30308148 0.37035438]
 [0.31700745 0.33083394 0.3521586 ]
 [0.3333043  0.3864005  0.28029534]
 [0.44716585 0.32562673 0.22720747]
 [0.35748503 0.3656633  0.27685168]
 [0.30133694 0.43145698 0.26720604]
 [0.38074872 0.40055093 0.21870051]
 [0.38910455 0.29990548 0.31098998]
 [0.3637723  0.31437072 0.32185706]]","('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_050_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_429_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_455_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_146_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_000_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_220_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_030_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_233_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_065_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_718_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_085_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_067_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_052_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_083_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_024_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_046_val_resized.jpg')"
3,1.788193941116333,"[[0.3022816  0.38409415 0.31362423]
 [0.39122105 0.23657858 0.37220034]
 [0.32047504 0.4090785  0.27044657]
 [0.32863724 0.34457743 0.32678533]
 [0.32728386 0.4071866  0.26552954]
 [0.3428386  0.3723775  0.28478387]
 [0.35679245 0.3282518  0.31495586]
 [0.38231483 0.26953715 0.34814814]
 [0.3434271  0.4181144  0.23845851]
 [0.3172526  0.36309955 0.3196479 ]
 [0.33119226 0.39172295 0.27708486]
 [0.26878223 0.4085325  0.3226854 ]
 [0.33373028 0.34837392 0.31789583]
 [0.33879504 0.2916535  0.36955142]
 [0.3617336  0.2965969  0.3416694 ]
 [0.36774734 0.39603963 0.23621309]]","('/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_082_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_085_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_069_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_071_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_442_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_003_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_016_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_094_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_114_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_040_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_010_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_072_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_034_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_077_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_011_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_028_val_resized.jpg')"
4,1.7875640392303467,"[[0.3936961  0.3528747  0.25342923]
 [0.26761597 0.41779128 0.3145928 ]
 [0.35924485 0.35387155 0.28688356]
 [0.3434919  0.4013163  0.25519177]
 [0.32388136 0.3935564  0.28256223]
 [0.3367759  0.2644355  0.39878866]
 [0.33196828 0.3577025  0.31032923]
 [0.33797076 0.3626208  0.29940835]
 [0.25611055 0.4417349  0.30215463]
 [0.3121351  0.3189799  0.3688851 ]
 [0.3244488  0.380989   0.29456234]
 [0.36013368 0.37139016 0.26847613]
 [0.36274755 0.38321507 0.2540374 ]
 [0.32417428 0.3262082  0.34961763]
 [0.39252442 0.26292056 0.3445549 ]
 [0.3048344  0.33400357 0.36116195]]","('/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_041_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_861_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_017_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_447_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_747_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_691_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_049_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_845_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_001_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_056_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_012_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_145_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_755_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_058_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_478_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_023_val_resized.jpg')"
5,1.7819700241088867,"[[0.36959034 0.3710096  0.25940007]
 [0.39167115 0.36466065 0.2436682 ]
 [0.35118818 0.32426792 0.32454395]
 [0.2901801  0.42221457 0.28760543]
 [0.39182353 0.3438977  0.2642787 ]
 [0.37882668 0.35780513 0.2633682 ]
 [0.3057083  0.35821673 0.33607498]
 [0.31380028 0.3908686  0.29533115]
 [0.38099217 0.30518135 0.31382647]
 [0.30496177 0.30599228 0.38904607]
 [0.32589123 0.3748734  0.29923528]
 [0.35782242 0.39036784 0.2518098 ]
 [0.29520068 0.339349   0.3654503 ]
 [0.28654376 0.38107294 0.33238322]
 [0.3270348  0.27412483 0.39884034]
 [0.3317708  0.3579343  0.31029493]]","('/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_090_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_548_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_061_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_043_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_758_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_674_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_138_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_658_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_000_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_093_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_027_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_035_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_070_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_583_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_062_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_077_val_resized.jpg')"
6,1.7862119674682617,"[[0.36048618 0.25061285 0.3889008 ]
 [0.4154249  0.3160687  0.2685064 ]
 [0.46498066 0.31905392 0.21596546]
 [0.29404438 0.36898863 0.33696693]
 [0.25639337 0.40322828 0.34037837]
 [0.42673966 0.28832603 0.28493434]
 [0.30960697 0.4104881  0.27990493]
 [0.333452   0.371352   0.295196  ]
 [0.34287786 0.33495566 0.32216644]
 [0.3369535  0.33952197 0.32352468]
 [0.39657265 0.29489154 0.30853578]
 [0.3810109  0.35802096 0.26096818]
 [0.3368769  0.26685253 0.39627057]
 [0.4096739  0.32857242 0.26175368]
 [0.35231256 0.3527431  0.29494435]
 [0.4096794  0.31595254 0.2743681 ]]","('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_081_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_095_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_062_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_066_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_013_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_034_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_054_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_094_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_004_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_017_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_144_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_057_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_364_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_662_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_087_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_321_resized.jpg')"
7,1.6896320581436157,"[[0.33500856 0.37733772 0.2876537 ]
 [0.3662431  0.3700119  0.26374507]
 [0.45377967 0.29084986 0.25537053]
 [0.5117812  0.27535108 0.2128678 ]
 [0.32705724 0.34750184 0.32544088]
 [0.33097923 0.380046   0.28897485]
 [0.2510298  0.4614695  0.28750077]
 [0.35161155 0.28942645 0.35896206]
 [0.3414558  0.3080387  0.35050556]
 [0.3462457  0.36816436 0.28559002]
 [0.36547583 0.34905955 0.2854645 ]
 [0.3573187  0.31166315 0.33101815]
 [0.5028961  0.2522631  0.24484074]
 [0.30623335 0.33771944 0.35604727]
 [0.3774238  0.26943085 0.3531454 ]
 [0.3230275  0.3042428  0.37272972]]","('/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_080_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_050_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_080_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_075_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_045_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_020_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_186_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_002_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_015_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_062_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_278_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_702_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_778_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_079_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_089_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_068_val_resized.jpg')"
8,1.6796200275421143,"[[0.36377293 0.31884328 0.31738386]
 [0.29992315 0.3165542  0.38352266]
 [0.3490209  0.28206244 0.36891672]
 [0.36046073 0.2897683  0.34977093]
 [0.29374862 0.39064437 0.31560695]
 [0.3031123  0.36496568 0.331922  ]
 [0.3455117  0.33159596 0.32289243]
 [0.38000247 0.36840385 0.2515936 ]
 [0.34917566 0.35160938 0.29921502]
 [0.34118    0.28790325 0.37091675]
 [0.33194914 0.40014386 0.26790702]
 [0.32517606 0.42903787 0.24578601]
 [0.3810052  0.28732592 0.33166894]
 [0.3248429  0.3791596  0.29599756]
 [0.34492418 0.40557498 0.2495008 ]
 [0.31088862 0.3406789  0.34843254]]","('/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_664_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_073_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_008_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_084_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_025_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_078_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_055_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_033_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_386_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_069_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_027_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_221_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_021_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_079_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_334_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_010_val_resized.jpg')"
9,1.6952099800109863,"[[0.45902687 0.21461047 0.3263627 ]
 [0.34602153 0.363688   0.29029042]
 [0.3124317  0.25005114 0.43751714]
 [0.30862477 0.4322785  0.25909677]
 [0.35441613 0.31185535 0.33372855]
 [0.3657485  0.3397741  0.29447746]
 [0.3116706  0.2754044  0.412925  ]
 [0.3637148  0.38867894 0.24760619]
 [0.35085726 0.34466574 0.30447698]
 [0.2911379  0.42704192 0.28182024]
 [0.3031281  0.36267602 0.3341959 ]
 [0.32140818 0.2900086  0.38858327]
 [0.35609743 0.38381648 0.26008606]
 [0.33618242 0.37519154 0.28862607]
 [0.38000247 0.36840385 0.2515936 ]
 [0.3810052  0.28732592 0.33166894]]","('/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_005_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_093_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_322_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_030_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_211_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_086_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_059_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_124_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_086_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_086_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_046_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_258_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_079_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Tiger/tiger_095_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Cheetah/cheetah_032_val_resized.jpg', '/home/ubuntu/Optimization/TVM/../Dataset/validation/Hyena/hyena_020_val_resized.jpg')"
