,Itr0_time,Itr0_acc,Itr0_conf,Itr0_aclabel
0,0.3575218915939331,0.25,[0.18107295 0.11979079 0.15267268 0.10245576],[5 1 8 7]
1,0.006824314594268799,0.0,[0.13090198 0.10228561 0.1284209  0.13310926],[5 7 9 8]
2,0.005159139633178711,0.0,[0.16211794 0.14434272 0.14235276 0.1274263 ],[8 4 8 4]
3,0.0052335262298583984,0.0,[0.11053978 0.13269368 0.1146538  0.12995519],[0 3 8 8]
4,0.0031070709228515625,0.0,[0.15052667 0.1382493  0.12038727 0.11825196],[6 6 3 2]
5,0.0030661821365356445,0.25,[0.18265411 0.18363878 0.1953447  0.13863228],[8 9 1 2]
6,0.0015216469764709473,0.0,[0.14763112 0.16362351 0.1029465  0.13060991],[5 7 8 6]
7,0.0015382766723632812,0.0,[0.14906284 0.16339248 0.14785886 0.11677309],[3 6 6 9]
8,0.0015350580215454102,0.25,[0.16352756 0.13236824 0.10879877 0.15230398],[0 9 1 0]
9,0.0015285015106201172,0.0,[0.1573549  0.102405   0.13968326 0.16365887],[8 8 0 2]
10,0.0015391111373901367,0.0,[0.14763546 0.11087074 0.12979789 0.13597357],[5 0 9 9]
11,0.00151902437210083,0.0,[0.14023276 0.14904054 0.19621587 0.17199145],[6 9 0 9]
12,0.000308990478515625,0.0,[0.1514652  0.11290666 0.12511422 0.21446991],[9 3 3 8]
13,0.00030803680419921875,0.25,[0.15845354 0.15155855 0.12970525 0.12958312],[9 4 1 3]
14,0.00031238794326782227,0.0,[0.18533193 0.18721026 0.157302   0.1114275 ],[6 0 0 6]
15,0.0003059506416320801,0.0,[0.14506781 0.13812819 0.12835509 0.15875758],[5 8 8 0]
16,0.00030499696731567383,0.25,[0.11236215 0.11726147 0.12808163 0.15506221],[4 1 7 5]
17,0.0003109574317932129,0.0,[0.10659236 0.14667656 0.17063127 0.16194993],[3 8 0 7]
18,0.0003050565719604492,0.0,[0.11007791 0.17639683 0.10326022 0.12163123],[8 8 7 8]
19,0.00030541419982910156,0.0,[0.1408516  0.1541603  0.1500479  0.15146458],[8 0 8 3]
20,0.00030928850173950195,0.0,[0.13337767 0.11940112 0.13028175 0.12632334],[6 9 3 4]
21,0.0003078579902648926,0.0,[0.13028546 0.12917052 0.14324968 0.13290274],[0 9 3 9]
22,0.0003432035446166992,0.0,[0.11543557 0.20240124 0.12735607 0.14955698],[2 8 7 2]
23,0.0003101825714111328,0.0,[0.19988151 0.13749999 0.11504988 0.12448404],[0 7 0 6]
24,0.0003052353858947754,0.0,[0.12030009 0.10925375 0.12823936 0.12167024],[8 7 6 2]
25,0.0003051161766052246,0.0,[0.17700316 0.15203504 0.20282035 0.15021586],[7 9 8 2]
26,0.00031071901321411133,0.0,[0.16884534 0.1342404  0.11725686 0.12583803],[3 7 5 0]
27,0.00030434131622314453,0.0,[0.11732802 0.18580896 0.1364027  0.1537111 ],[0 2 2 7]
28,0.00030541419982910156,0.0,[0.1514031  0.12942879 0.11483035 0.17263217],[3 8 6 3]
29,0.0003110170364379883,0.0,[0.13644294 0.12201105 0.15533675 0.14138326],[9 9 4 0]
30,0.00030303001403808594,0.25,[0.15120019 0.16272861 0.14619885 0.1612203 ],[3 1 0 9]
31,0.00030487775802612305,0.25,[0.1512902  0.10795014 0.13665807 0.1724036 ],[6 2 1 3]
32,0.000306546688079834,0.25,[0.1747093  0.14411727 0.10515575 0.1198314 ],[2 1 6 6]
33,0.0003082752227783203,0.0,[0.13206388 0.10250191 0.20253853 0.12461623],[6 0 0 7]
34,0.0003097653388977051,0.0,[0.16027957 0.10305694 0.11451493 0.15027301],[7 3 6 3]
