,Itr0_time,Itr0_acc,Itr0_conf,Itr0_aclabel
0,0.21343672275543213,0.5,"[0.45520106 0.7879814  0.9717281  0.81409013 0.6425618  0.6139809
 0.7527031  0.67871976]",[4 5 6 5 3 4 2 9]
1,0.006238996982574463,0.375,"[0.8232806  0.2817563  0.52102286 0.99839157 0.9033299  0.78738856
 0.3082856  0.5485144 ]",[6 0 8 5 7 8 4 6]
2,0.0020619332790374756,0.0,"[0.27234632 0.9650719  0.61584944 0.31769696 0.29863992 0.4101217
 0.6692835  0.86328167]",[0 8 7 3 4 6 4 6]
3,0.0020459890365600586,0.25,"[0.9991202  0.38256195 0.60211337 0.9947456  0.67014444 0.5643206
 0.37804806 0.7353659 ]",[2 3 2 1 3 8 6 8]
4,0.0003408491611480713,0.25,"[0.5099313  0.53104883 0.47752059 0.78865474 0.22617863 0.9538465
 0.58223706 0.26474258]",[2 0 8 8 5 6 7 3]
5,0.00033718347549438477,0.25,"[0.68032277 0.8479418  0.985705   0.50691205 0.57299757 0.45348012
 0.8806655  0.35073656]",[3 1 0 9 5 7 9 8]
6,0.0003394186496734619,0.375,"[0.37268573 0.34063885 0.92840314 0.47218317 0.84293544 0.21743159
 0.37137535 0.4384709 ]",[1 5 0 9 8 6 3 6]
7,0.00033608078956604004,0.625,"[0.5524141  0.76208377 0.39986128 0.63629407 0.51397187 0.8781277
 0.9426478  0.64796245]",[3 7 0 6 1 8 5 7]
8,0.0003389716148376465,0.375,"[0.47723436 0.9553443  0.40068224 0.9419804  0.52672714 0.9138272
 0.57436305 0.87867385]",[0 0 1 8 3 1 3 5]
9,0.00033420324325561523,0.25,"[0.5858396  0.16964164 0.341999   0.8520818  0.41679215 0.5999442
 0.35907325 0.9364824 ]",[7 3 0 0 6 6 8 6]
10,0.00033783912658691406,0.5,"[0.37218195 0.39942923 0.9996101  0.94064057 0.70603883 0.24664861
 0.9736882  0.6670709 ]",[4 8 0 0 2 9 1 8]
11,0.00033226609230041504,0.375,"[0.35781726 0.7862168  0.57723606 0.74789435 0.36226    0.994586
 0.89261156 0.36960715]",[4 4 8 3 2 9 5 7]
12,0.00033271312713623047,0.375,"[0.74828154 0.56052583 0.32513374 0.5492419  0.58299315 0.5220482
 0.3094996  0.999466  ]",[2 9 4 6 9 6 1 0]
13,0.00033149123191833496,0.375,"[0.283827   0.5368518  0.6450049  0.6713546  0.41176143 0.99756265
 0.8815277  0.69425476]",[8 2 7 6 7 0 2 1]
14,0.0003342628479003906,0.5,"[0.54696167 0.18658267 0.34075913 0.6195156  0.9035874  0.70449966
 0.3161721  0.2397286 ]",[6 5 9 7 8 9 6 4]
15,0.00033527612686157227,0.25,"[0.36525005 0.8806186  0.26783273 0.7019653  0.5832657  0.59535146
 0.2623745  0.76635987]",[3 6 5 8 4 6 7 1]
16,0.0003376305103302002,0.375,"[0.44528696 0.43827224 0.47985014 0.5969789  0.5283331  0.5876039
 0.24431278 0.9921672 ]",[1 1 9 7 5 4 9 7]
