,Itr0_time,Itr0_acc,Itr0_conf,Itr0_aclabel
0,1.4120932817459106,0.5,[0.5195062  0.2410917  0.3791927  0.49322072],[5 4 7 6]
1,0.003722965717315674,0.25,[0.4074843  0.9685411  0.19361936 0.49950552],[5 5 2 7]
2,0.003567516803741455,0.75,[0.6963099  0.42329332 0.8317572  0.34193963],[7 2 0 8]
3,0.0035958290100097656,0.25,[0.27301806 0.36285996 0.30538106 0.3559947 ],[2 2 7 4]
4,0.0036538243293762207,0.75,[0.26120514 0.3398244  0.57475823 0.7155799 ],[3 6 3 1]
5,0.003582298755645752,0.0,[0.28985512 0.36690393 0.4851498  0.5018845 ],[2 0 4 1]
6,0.003588378429412842,0.75,[0.52319163 0.5816064  0.61791617 0.6836539 ],[6 7 7 6]
7,0.003571033477783203,0.5,[0.26060653 0.74877185 0.5808559  0.9341554 ],[2 5 6 0]
8,0.003583073616027832,0.0,[0.2841989  0.3349727  0.24217805 0.93043846],[3 4 9 4]
9,0.0035787224769592285,0.25,[0.37245467 0.30479553 0.548297   0.7215718 ],[5 4 6 1]
10,0.003641366958618164,0.5,[0.8657684  0.16302428 0.9984012  0.5120872 ],[8 2 0 5]
11,0.003589153289794922,0.75,[0.5648807  0.54160005 0.439649   0.3310798 ],[7 1 4 5]
12,0.003606736660003662,0.0,[0.19527723 0.37252742 0.44524056 0.6334423 ],[8 2 4 2]
13,0.0036182403564453125,0.25,[0.35322052 0.5595217  0.967125   0.49041894],[2 0 2 8]
14,0.0035996437072753906,0.75,[0.82196814 0.9257471  0.48602512 0.9999651 ],[5 6 8 0]
15,0.0035722851753234863,0.75,[0.23171237 0.73021233 0.9783613  0.9150348 ],[6 7 9 0]
16,0.0041542649269104,0.5,[0.4133884  0.35467094 0.67431325 0.6705141 ],[7 6 5 4]
17,0.003701150417327881,0.0,[0.73549056 0.36799023 0.32083613 0.33157763],[4 9 7 1]
18,0.0035916566848754883,0.25,[0.32538155 0.38963753 0.44312903 0.24103819],[9 4 8 3]
19,0.003573596477508545,0.0,[0.39885584 0.49559176 0.42196828 0.73350245],[8 4 4 5]
20,0.003573298454284668,0.0,[0.4099597  0.32619387 0.40829867 0.86015433],[6 6 7 0]
21,0.003588259220123291,0.0,[0.47814804 0.29430422 0.86524343 0.51502395],[8 8 0 9]
22,0.003590106964111328,0.0,[0.32912448 0.5297162  0.20781636 0.33651194],[2 4 9 2]
23,0.0035793185234069824,0.5,[0.3793364  0.702925   0.39087427 0.816527  ],[3 6 7 6]
24,0.00357818603515625,0.5,[0.49961483 0.4660727  0.66338205 0.45464417],[7 8 2 0]
25,0.0035700201988220215,0.25,[0.60816187 0.45516816 0.28817496 0.3806171 ],[9 5 8 3]
26,0.0037683844566345215,0.25,[0.357422   0.4188297  0.4167038  0.44547665],[5 7 4 5]
27,0.003600895404815674,0.5,[0.49532393 0.24182168 0.358123   0.9691281 ],[1 7 2 0]
28,0.0035772323608398438,0.5,[0.506105   0.5297504  0.21750163 0.5578057 ],[2 1 3 7]
29,0.0036246776580810547,0.25,[0.28094417 0.36895338 0.6957956  0.14163098],[8 2 7 7]
30,0.0036132335662841797,0.5,[0.26557302 0.56256855 0.4757931  0.8330907 ],[8 1 2 4]
31,0.003571033477783203,0.0,[0.41514772 0.70226896 0.35993487 0.6011368 ],[9 1 5 7]
32,0.003574669361114502,1.0,[0.5847932  0.60446215 0.35565045 0.76038325],[8 1 4 7]
33,0.003567993640899658,0.75,[0.39175463 0.42755777 0.25761852 0.98955286],[4 8 4 0]
34,0.0035913586616516113,0.25,[0.5904508  0.88392115 0.4085861  0.5540503 ],[8 0 8 2]
35,0.003572523593902588,0.0,[0.5908195 0.4208483 0.4831004 0.5750039],[6 9 3 8]
36,0.0035971999168395996,0.5,[0.7534703  0.61787194 0.2117511  0.7720414 ],[5 1 5 8]
37,0.0036814212799072266,0.0,[0.3834026  0.5012289  0.22327477 0.8383437 ],[7 7 5 2]
38,0.0036500096321105957,0.5,[0.35832465 0.779709   0.45648    0.611513  ],[3 6 3 6]
39,0.0036659836769104004,0.5,[0.30082935 0.70586175 0.48790896 0.9929108 ],[6 0 8 5]
40,0.0036872029304504395,0.5,[0.6223767  0.87809104 0.69423634 0.32554576],[1 7 2 8]
41,0.003650486469268799,0.75,[0.6954712  0.51661944 0.14437434 0.87465584],[9 0 7 4]
42,0.003622591495513916,0.5,[0.9257204  0.47005567 0.39300093 0.3674578 ],[9 1 6 4]
43,0.0036272406578063965,0.25,[0.5511477  0.4168813  0.6072766  0.63265514],[0 7 4 1]
44,0.003725767135620117,0.0,[0.740609   0.5136251  0.6639761  0.30969965],[7 3 9 4]
45,0.0038118362426757812,0.5,[0.74322534 0.41727805 0.48965982 0.60976535],[4 4 3 9]
