,Itr0_time,Itr0_acc,Itr0_conf,Itr0_aclabel
0,0.5689069032669067,0.75,[0.9291994 0.9813572 0.9684096 0.9845846],[5 1 8 7]
1,0.0005617737770080566,0.25,[0.29634726 0.37833208 0.93180376 0.67822444],[5 7 9 8]
2,0.0005269646644592285,0.5,[0.5011509  0.68490654 0.5072063  0.45671377],[8 4 8 4]
3,0.0005217194557189941,0.5,[0.26621616 0.636028   0.9093758  0.43616724],[0 3 8 8]
4,0.0005216002464294434,0.75,[0.56252027 0.64428264 0.56832796 0.8406347 ],[6 6 3 2]
5,0.0005154013633728027,0.25,[0.7570989  0.44434866 0.5539152  0.32945666],[8 9 1 2]
6,0.0005128979682922363,0.5,[0.37026027 0.6303815  0.73246723 0.77447814],[5 7 8 6]
7,0.0005130171775817871,0.0,[0.8557411 0.3282011 0.828073  0.9919065],[3 6 6 9]
8,0.0005115866661071777,0.25,[0.3577549  0.40273893 0.4841374  0.6435849 ],[0 9 1 0]
9,0.0005134344100952148,0.75,[0.869007   0.8305538  0.52683014 0.73200727],[8 8 0 2]
10,0.00051116943359375,0.25,[0.3753698  0.53150344 0.42488647 0.8690001 ],[5 0 9 9]
11,0.0005221962928771973,0.25,[0.53161436 0.7110461  0.63586485 0.55713093],[6 9 0 9]
12,0.0005208849906921387,0.5,[0.29854333 0.78909886 0.5000282  0.99110097],[9 3 3 8]
13,0.000520169734954834,0.5,[0.7294473  0.3810009  0.9392036  0.68695587],[9 4 1 3]
14,0.0005238652229309082,0.75,[0.35330603 0.99999845 0.68965155 0.6363385 ],[6 0 0 6]
15,0.0005196332931518555,0.25,[0.6583569  0.29494926 0.2258125  0.9975655 ],[5 8 8 0]
16,0.0005192160606384277,0.25,[0.7275455  0.39567083 0.35183358 0.6044859 ],[4 1 7 5]
17,0.0005208849906921387,0.5,[0.51039034 0.54635763 0.9433651  0.84353757],[3 8 0 7]
18,0.000512540340423584,0.5,[0.6337434  0.46665022 0.8132951  0.69031644],[8 8 7 8]
